crimeCategory,latitude,longitude
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.953103,77.537032
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.957915,77.519332
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.956942,77.546412
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.952128,77.537183
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.967291,77.518315
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.946076,77.526701
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.936123,77.515563
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.939901,77.532463
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.939568,77.523378
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.949861,77.54131
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.960056,77.533011
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.966336,77.523466
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.954381,77.544069
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.959167,77.526672
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.955948,77.546239
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.936463,77.518763
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.944848,77.529121
