code,mdy,utmx,utmy,depth_in_m,Info,color_hex,WKT,geometry,longitude,latitude
BS12,9/13/2007,778936.0,1435113.0,4.24,"Construction site, Mill road, Cottonpet",#66BD63,MULTIPOINT ((77.5711284513733 12.9690016159241)),MULTIPOINT (77.5711284513733 12.9690016159241),77.5711284513733,12.9690016159241
BS13,9/19/2007,779023.0,1435086.0,2.75,"Public Borewell. Akkipete main road, 1 hr morning and 1 hr evening pumping. Not",#006837,MULTIPOINT ((77.5719273090011 12.9687497878072)),MULTIPOINT (77.5719273090011 12.9687497878072),77.5719273090011,12.9687497878072
BS14,9/19/2007,779009.0,1435080.0,3.05,"House, Akki[et main road. Open well, fills 1500 lts per day.",#006837,MULTIPOINT ((77.5717977968183 12.9686968612408)),MULTIPOINT (77.5717977968183 12.9686968612408),77.5717977968183,12.9686968612408
BS15,9/19/2007,778812.0,1435085.0,2.2,"Public Borewell, Cottonpet main road cross (LHS), dug one day earlier. No Pumpin",#006837,MULTIPOINT ((77.5699836774316 12.9687599617863)),MULTIPOINT (77.5699836774316 12.9687599617863),77.5699836774316,12.9687599617863
BS16,9/19/2007,778703.0,1434992.0,7.4,"Public Borewell, 6th cross Bakshi garden, Cottonpet cross road left, supper talk",#66BD63,MULTIPOINT ((77.5689710427386 12.9679297541185)),MULTIPOINT (77.5689710427386 12.9679297541185),77.5689710427386,12.9679297541185
BS17,9/19/2007,778804.0,1434972.0,2.45,"Open well, Supper talkies, cottonpet main road. Beside cottonpet police station.",#006837,MULTIPOINT ((77.5698995047689 12.9677398942)),MULTIPOINT (77.5698995047689 12.9677398942),77.5698995047689,12.9677398942
BS18,9/19/2007,778893.0,1434946.0,2.25,"Open well 1.5m dia. House, Police station road,after Akkipet main road, Ranasing",#006837,MULTIPOINT ((77.5707168754649 12.9674969219193)),MULTIPOINT (77.5707168754649 12.9674969219193),77.5707168754649,12.9674969219193
BS19,9/19/2007,778905.0,1434868.0,1.45,"Openwell, House, Byrappa Lane, Ranasingpete, 3000 lts per day",#006837,MULTIPOINT ((77.570820169293 12.9667912102418)),MULTIPOINT (77.570820169293 12.9667912102418),77.570820169293,12.9667912102418
BS20,9/19/2007,779529.0,1433962.0,3.64,"Lodge, Anatha Arcade, A V Road, Kalasipalya, 12 hrs pumping, 12000 lts capacity",#006837,MULTIPOINT ((77.5764835919366 12.9585499626244)),MULTIPOINT (77.5764835919366 12.9585499626244),77.5764835919366,12.9585499626244
BS21,9/19/2007,779502.0,1433979.0,3.6,"Openwell, Hotel City towers, AV road cross kalasipalya, behind Bangalore medical",#006837,MULTIPOINT ((77.5762364837544 12.9587059940815)),MULTIPOINT (77.5762364837544 12.9587059940815),77.5762364837544,12.9587059940815
BS22,9/19/2007,779502.0,1433979.0,22.55,"Hotel City towers, AV road cross kalasipalya, behind Bangalore medical college,",#F46D43,MULTIPOINT ((77.5762364837544 12.9587059940815)),MULTIPOINT (77.5762364837544 12.9587059940815),77.5762364837544,12.9587059940815
BS23,9/19/2007,779495.0,1433789.0,15.9,"Borewell, Dy Dir, Public instruction, Kalasipalyam, Bangalore. Fills tank 4000 l",#D9EF8B,MULTIPOINT ((77.576154352937 12.9569902573252)),MULTIPOINT (77.576154352937 12.9569902573252),77.576154352937,12.9569902573252
BS24,9/19/2007,779486.0,1434113.0,1.51,"Open well, House, Kalasipalya, Other side of AV road, Near Bus stand. No Pumping",#006837,MULTIPOINT ((77.5761015662385 12.9599179482494)),MULTIPOINT (77.5761015662385 12.9599179482494),77.5761015662385,12.9599179482494
BS25,9/19/2007,779453.0,1434137.0,2.2,"Open well, House, Kalasipalyam C street road, near bus stand, No Pumping",#006837,MULTIPOINT ((77.5757998426978 12.9601377613561)),MULTIPOINT (77.5757998426978 12.9601377613561),77.5757998426978,12.9601377613561
BS26,9/19/2007,779495.0,1434305.0,3.16,"Open well, Temple, Kalasipalyam, Bus stand, No Pumping.",#006837,MULTIPOINT ((77.5762023090585 12.961651569327)),MULTIPOINT (77.5762023090585 12.961651569327),77.5762023090585,12.961651569327
BW1,9/14/2007,778242.0,1435830.0,11.4,"Public Borewell, Opp Leprosy Hospital, Off Magadi Road(Tank Bund Road), Morning",#D9EF8B,MULTIPOINT ((77.564802347206 12.9755418260355)),MULTIPOINT (77.564802347206 12.9755418260355),77.564802347206,12.9755418260355
BW2,9/14/2007,778382.0,1435653.0,5.2,"Leprosy Hospital colony compound, Off Magadi road(Tank bund road). Supply water",#66BD63,MULTIPOINT ((77.5660755337036 12.9739301531819)),MULTIPOINT (77.5660755337036 12.9739301531819),77.5660755337036,12.9739301531819
BW3,9/14/2007,778336.0,1435724.0,9.45,"Leprosy Hospital colony compound, Off Magadi road(Tank bund road). No Pumping",#D9EF8B,MULTIPOINT ((77.565658392884 12.9745757206283)),MULTIPOINT (77.565658392884 12.9745757206283),77.565658392884,12.9745757206283
BW4,9/14/2007,778413.0,1435663.0,2.73,"Public Borewell, Shri Angala Parameshwari Temple, Tank Bund Road, Off Magadi Roa",#006837,MULTIPOINT ((77.5663620112048 12.9740176714129)),MULTIPOINT (77.5663620112048 12.9740176714129),77.5663620112048,12.9740176714129
BW5,9/14/2007,778367.0,1435649.0,3.85,"Office, Karnataka Govt Bangalore Medical Doctors Association, Tank Bund Road, Pu",#006837,MULTIPOINT ((77.5659369933389 12.9738953821026)),MULTIPOINT (77.5659369933389 12.9738953821026),77.5659369933389,12.9738953821026
BW6,9/14/2007,778441.0,1435560.0,3.8,"Public Borewell, Tank Bund Road, Off Magado Road, Morning and Evening 1 hr pumpi",#006837,MULTIPOINT ((77.5666103799289 12.9730846642585)),MULTIPOINT (77.5666103799289 12.9730846642585),77.5666103799289,12.9730846642585
BW7,9/14/2007,777205.0,1435801.0,12.4,"Factory, Alkem Labs Ltd, Magadi Road LHS, near nala, 24 hrs pumping 2 inch pipe.",#D9EF8B,MULTIPOINT ((77.5552474332746 12.975373895927)),MULTIPOINT (77.5552474332746 12.975373895927),77.5552474332746,12.975373895927
BW8,9/14/2007,777299.0,1435971.0,1.64,"Public Borewell, 8th cross, RHS of Magado Road, Morning and Evening 1 hr pumping",#006837,MULTIPOINT ((77.5561290060717 12.9769011113816)),MULTIPOINT (77.5561290060717 12.9769011113816),77.5561290060717,12.9769011113816
BW9,9/14/2007,777327.0,1435653.0,4.1,"Public Borewell, LHS of Magadi Road, Morning and Evening 1 hr pumping, 2 inch pi",#66BD63,MULTIPOINT ((77.5563575627218 12.9740258652576)),MULTIPOINT (77.5563575627218 12.9740258652576),77.5563575627218,12.9740258652576
